
 # Compare Input and output values of translation x for all images.
 -371.0  -416.68360709349446
 -392.0  -435.81190175139176
 -398.0  -432.0869418124243
 -380.0  -426.80768632836686
 -374.0  -418.9293269043517
 -394.0  -430.56221967739975
 -388.0  -439.2470248674747
 -385.0  -441.20231767736476
 -396.0  -424.5311353398635
 -385.0  -420.76111904744926
 -393.0  -439.251145566046
 -389.0  -434.1820467735973
 -384.0  -428.2078841188054
 -375.0  -442.9915409485673
 -384.0  -429.87091618831937
 # Compare Input and output values of translation y for all images.
 -379.0  -412.4296644261059
 -397.0  -409.97104271791767
 -397.0  -407.3773286201652
 -373.0  -426.3319210827631
 -377.0  -433.25975287989365
 -383.0  -413.3242597721325
 -383.0  -431.20159317015555
 -392.0  -429.0496516299113
 -395.0  -409.1050426722922
 -376.0  -413.7366171857677
 -379.0  -415.0557818415384
 -373.0  -419.2592707749908
 -395.0  -424.54010400735837
 -398.0  -428.70371707458054
 -379.0  -410.2889236152671
 # Compare Input and output values of translation z for all images.
 1008.0  1166.8761438244262
 1017.0  1152.1336022299965
 1003.0  1159.8639573387181
 1001.0  1163.373434730395
 1005.0  1164.8105359124536
 1010.0  1172.5748895765855
 1001.0  1179.2543701561992
 1001.0  1157.8680755296507
 1015.0  1162.6284124790052
 1004.0  1170.1202255364647
 1000.0  1166.5523030234042
 1002.0  1164.9485193117139
 1010.0  1156.8326396504724
 1004.0  1175.7460744904497
 1011.0  1163.92771622945
 # Compare Input and output values of rotation x for all images.
 7.0  -0.13787468114246548
 7.0  -0.17680552230900545
 7.0  -0.07337217325089324
 0.0  -0.16082939709883196
 1.0  -0.03587740820398672
 9.0  -0.11762721220640769
 1.0  -0.13681069618751185
 6.0  -0.14285874013339955
 8.0  -0.01380834826030409
 4.0  -0.021572439600278066
 9.0  -0.16993109597062633
 3.0  -0.024684943383252524
 8.0  -0.12689617662609037
 1.0  -0.1514334017631348
 6.0  -0.08616564378559574
 # Compare Input and output values of rotation y for all images.
 5.0  -0.10215108709944663
 7.0  -0.02782751567620725
 1.0  -0.004475005205237169
 2.0  -0.012733173462652004
 6.0  -0.02148468459361639
 4.0  -0.11938963255127301
 5.0  -0.13512339485337535
 1.0  -0.026267975506807654
 7.0  -0.038587766611138954
 3.0  -0.11361133652712264
 1.0  -0.09325518936425937
 0.0  -0.09527172312219344
 0.0  -0.025688283313140575
 1.0  -0.13879641272653487
 6.0  -0.06346859380681091
 # Compare Input and output values of rotation z for all images.
 3.0  -0.05098075206462039
 1.0  -0.0195294064860771
 1.0  -0.0014503957297424992
 6.0  -0.05534616251157425
 8.0  -0.10508656258110187
 8.0  -0.0682240966677578
 9.0  -0.01461736477788923
 1.0  -0.01920491459613628
 3.0  -0.1053708573654351
 6.0  -0.1404170984457881
 1.0  -0.1383729624388087
 0.0  -0.1578313735520283
 3.0  -0.019072180476734785
 6.0  -0.048512676290676626
 4.0  -0.10525038247370827
